date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-09-16,59136.83,5636920631.973337,504540.0,575841130.3929921,96520.54034588
2024-09-17,58194.98,5979868415.488911,539113.0,691009356.4715909,99869.52096982999
2024-09-18,60304.22,7033415665.476531,541476.0,635728607.9538636,116956.66657793999
2024-09-19,61683.91,8246322622.468619,455707.0,562020943.2635604,130952.17337925002
2024-09-20,62938.2,11383528905.333433,526390.0,667975711.255871,180175.20529262995
2024-09-21,63213.19,1936753345.683346,557444.0,621908420.8244318,30656.640245090002
2024-09-22,63377.01,1568648134.041071,628230.0,626515149.8675756,24880.70142222
2024-09-23,63626.42,7000723222.757288,580102.0,672582440.299015,110088.38807601
2024-09-24,63330.79,8567453178.705362,532220.0,667975711.255871,134612.21562556992
2024-09-25,64279.04,8162704768.430984,503460.0,657005311.2676694,127725.05528282
2024-09-26,63138.8,7108680538.140987,474766.0,571298868.1801282,110060.8320676101
2024-09-27,65179.96,8554437526.620602,451723.0,602061114.928289,129847.57789366004
2024-09-28,65781.65,2366097260.4524183,507707.0,566904261.5018196,35900.16545925001
2024-09-29,65888.5,1655558348.2101824,687427.0,681164035.1378452,25131.778907449985
2024-09-30,65620.59,10834329687.749815,594224.0,602061114.928289,169322.46498286998
2024-10-01,63323.53,8154719864.648614,632894.0,689953248.4944626,129622.1577305
2024-10-02,60838.74,7829105602.861956,590981.0,681164035.1378452,127777.37995928002
2024-10-03,60639.47,7480735068.698743,582777.0,694347855.1727712,122979.59329388001
2024-10-04,60754.15,5461339204.431516,561425.0,742688528.6341666,88469.23921600003
2024-10-05,62079.73,2730371658.884799,757575.0,663585608.4246106,43915.17277343
2024-10-06,62065.06,3005253704.35666,742158.0,667980215.1029191,48047.37937448001
2024-10-07,62814.93,7813362740.240367,717700.0,681164035.1378452,123097.53907834002
2024-10-08,62238.11,10877241078.803791,719458.0,733899315.2775493,173729.68242095003
2024-10-09,62124.37,6720634380.632039,536887.0,574966972.3426994,108383.69672177001
2024-10-10,60574.02,7011381420.420207,746211.0,709250575.4670075,116176.15505136001
2024-10-11,60269.24,6860121248.392112,633252.0,640613423.0024583,111018.28266180007
2024-10-12,62457.07,1843902651.0940166,736321.0,654340853.4953684,29272.90234836
2024-10-13,63189.26,1597337887.2848842,648739.0,631461802.673852,25422.76122754
2024-10-14,62842.66,6678664097.609112,611683.0,636037612.8381552,102369.68402635
2024-10-15,66048.56,11549587821.736782,646891.0,713826385.6313109,174274.85384708998
2024-10-16,67049.57,11139283532.797909,708342.0,645189233.1667618,164873.90791851003
2024-10-17,67599.32,8730955014.1011,653027.0,718402195.7956142,129791.96978448002
2024-10-18,67401.64,10874397499.760347,474279.0,622310182.3452455,159244.63113749996
2024-10-19,68426.2,3014354207.8432803,735561.0,791615158.4244666,44174.79132151999
2024-10-20,68365.74,4380035792.252007,778073.0,791615158.4244666,64133.53518051994
2024-10-21,69012.04,8678261147.398464,835011.0,782463538.0958601,127291.99250479
